"","ID","Source","Country","Species","Cap.year","Cap.gear","Sex","LS_Score","TL","sdtl","TWgt","sdtwgt","F.Ys.Wgt","D.T.Wgt","D.Ys.Wgt","Cls","Cli","sdcli","Clo","Len_Cl","Ts","Es","VDs","SVs","Sperm","LTW","RTW","LTWt","RTWt","CTWt","Os","Ovs","Us","OW","OWt","OvaM","OvaA","OvWM","LUWM","RUWM","LS_est","TL.pred","TWgt.pred","Cli.pred","Population","Hemisphere"
"42","NZL00151M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,502,NA,600,NA,NA,NA,NA,1,33,NA,18,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"43","NZL00152F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,838,NA,932.894640383825,83.5901964651583,NA,806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"New Zealand","South"
"44","NZL00153M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,542,NA,858,NA,NA,681,NA,1,34,NA,16,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"45","NZL00154M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,541,NA,702,NA,NA,632,NA,1,36,NA,19,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"46","NZL00155M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,396,NA,284,NA,NA,247,NA,1,25,NA,14,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"47","NZL00156F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,389,NA,272,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"48","NZL00157M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,694,NA,1944,NA,NA,1813,NA,1,48,NA,25,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"49","NZL00158M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,768,NA,1522,NA,NA,1402.5,NA,1,50,NA,25,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"50","NZL00159M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,704,NA,1495,NA,NA,1339,NA,1,45,NA,23,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"51","NZL00160F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,805,NA,2114,NA,NA,1815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,4,2,2,NA,NA,NA,NA,"New Zealand","South"
"52","NZL00161M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,650,NA,1070,NA,NA,990,NA,1,43,NA,22,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"53","NZL00162M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,805,NA,2100,NA,NA,1671,NA,1,47,NA,24,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"54","NZL00163F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,639,NA,992,NA,NA,898.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"55","NZL00164M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,748,NA,1956,NA,NA,1524.5,NA,1,49,NA,21,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"56","NZL00165F","AB","New Zealand","Galeorhinus galeus",2022,"BT","F",2,622,NA,1070,NA,NA,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
"57","NZL00166M","AB","New Zealand","Galeorhinus galeus",2022,"BT","M",2,725,NA,1532,NA,NA,1434.5,NA,1,47,NA,22,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Zealand","South"
